time,position_x,velocity_x,position_y,velocity_y,angular_velocity_z
1500.35,-0.8129568316990228,-0.467519989042102,0.43803336535969006,0.0,-0.2741128009095668
1500.45,-0.8385665738161882,-0.49818311302084956,0.47925937354145454,0.0,-0.20272255568730652
1500.55,-0.8648309542309579,-0.503794935468454,0.5217947875658686,0.0,-0.11617617244569432
1500.65,-0.8907596252879267,-0.5040595851842443,0.5646089924588062,0.0,-0.06388800196984074
1500.75,-0.9164083222591369,-0.5034407144067925,0.6075596056286696,0.0,-0.035200148714796174
1500.85,-0.9412764933049977,-0.49455679413999754,0.6504833466839125,0.0,-0.04791057345243635
1500.95,-0.961383632033451,-0.41663198188710754,0.68885244386359,0.0,-0.1395288161669332
1501.05,-0.9770355266140544,-0.3501958054439886,0.7215766726771943,0.0,-0.238228749887602
1501.15,-0.989594443708952,-0.30158673865749797,0.7498594769430597,0.0,-0.30864111842091696
1501.25,-1.0004226682561874,-0.2788541316539068,0.7762022233177303,0.0,-0.3525264251625913
1501.35,-1.0100181770298673,-0.27268690419454217,0.8019154282291943,0.0,-0.37874037202479083
1501.45,-1.018946407297227,-0.28817622844191026,0.8286011751600572,0.0,-0.3897208748823482
1501.55,-1.0290922576798889,-0.36141930092283714,0.8618677370194777,0.0,-0.36902837609314193
1501.65,-1.0383263881586973,-0.3513335988424303,0.8970903018081048,0.0,-0.35762666789256875
1501.75,-1.0440677300432037,-0.26655621625538023,0.9248243550769727,0.0,-0.37969915115899205
1501.85,-1.0475701441037888,-0.20207019254340508,0.9463954576690952,0.0,-0.40294183097573805
1501.95,-1.0493867872369556,-0.1459019213308149,0.9621057355385424,0.0,-0.42525927364956356
1502.05,-1.0503315433124902,-0.12321106075503904,0.9750633368996316,0.0,-0.4478496738249842
1502.15,-1.0505416907742018,-0.08695404345703298,0.9851409770403824,0.0,-0.4713801493165478
1502.25,-1.0503465959735576,-0.03351113502346057,0.9895849804993926,0.0,-0.48569269949812843
1502.35,-1.050159215679481,-0.023953853251955745,0.9924800250431624,0.0,-0.4919355163656897
1502.45,-1.0498837006172022,-0.022137206615305882,0.9951202039347676,0.0,-0.49446290635737045
1502.55,-1.049492955232842,-0.022209425345023244,0.9976806497238724,0.0,-0.4957795952600861
1502.65,-1.0493223890462533,0.003245822957617698,0.9983857094652824,0.0,-0.4966916268273118
1502.75,-1.0506454757272,0.07372030224791425,0.9930539809610985,0.0,-0.4981153949728561
1502.85,-1.0533852385068287,0.09569290605110792,0.984581052670071,0.0,-0.4974648899410118
1502.95,-1.0567537712337713,0.09920478941343952,0.9758062317033019,0.0,-0.49507609350887777
1503.05,-1.0607070662269404,0.10388762716893801,0.9668417901609528,0.0,-0.49369429087352423
1503.15,-1.0637198957440916,0.053517417533575896,0.9611125550672537,0.0,-0.4942746956510056
1503.25,-1.0640306347373834,0.005979785553715945,0.9608606401322715,0.0,-0.49299536564325264
1503.35,-1.058608516983818,-0.1476652220736464,0.9701579050490989,0.0,-0.4790531915694919
1503.45,-1.0451023647775304,-0.26154931530382247,0.990281489773354,0.0,-0.44887062875341577
1503.55,-1.0282249219139838,-0.28760320250862936,1.013115506103728,0.0,-0.4145841058798343
1503.65,-1.0116906971500377,-0.2451951877191817,1.0335253480568944,0.0,-0.4002783304753
1503.75,-0.9994772936531726,-0.17644219841180434,1.04697975512308,0.0,-0.42012864157579155
1503.85,-0.9891555930440573,-0.1378614950620101,1.0574090532924134,0.0,-0.44067868011811306
1503.95,-0.9821507802475721,-0.08171300429938652,1.0637466196933933,0.0,-0.458960194277354
1504.05,-0.9782487827801232,-0.03959114625208404,1.0669115429035667,0.0,-0.47428257728860507
1504.15,-0.9757716943052587,-0.030152894405087314,1.0687923579390743,0.0,-0.48243429996816095
1504.25,-0.973014325640326,-0.03285197832329129,1.0707548216888088,0.0,-0.4800650937177213
1504.35,-0.9693102120692949,-0.05473060220248694,1.0731692707281029,0.0,-0.4745086034950658
1504.45,-0.9545297515781943,-0.20689041255729643,1.0820380472224702,0.0,-0.4476510823821197
1504.55,-0.9299636243845146,-0.2997902354286941,1.0951699018025973,0.0,-0.4094491108929448
1504.65,-0.8976876919441877,-0.3727164397676154,1.1111251871074577,0.0,-0.35079248934520074
1504.75,-0.8612488641851083,-0.41218029959985086,1.128252846374663,0.0,-0.2722123622169033
1504.85,-0.8235935833521074,-0.4177932019630878,1.145061373717523,0.0,-0.21322274518469725
1504.95,-0.7861150897824069,-0.4040261709025962,1.1607418507994443,0.0,-0.19156197032556177
1505.05,-0.7494070959599337,-0.38957394261071404,1.174415022543221,0.0,-0.23694111871659496
1505.15,-0.7157905581215623,-0.3530495627341054,1.1855021848802032,0.0,-0.29056282920640253
1505.25,-0.6812464161093731,-0.3760101878171815,1.1960519009224113,0.0,-0.3120548424606526
